"Name","Address","City","State","Phone","Type"
"10 Mile Brewing Company","1136 E Willow St","Signal Hill","CA","(562) 612-1255","Brewery"
"101 North Brewing","1304 Scott St Suite D","Petaluma","CA","(707) 778-8384","Brewery"
"14 Cannons","31125 Via Colinas Suite 907","Westlake Village","CA","(818) 652-6971","Brewery"
"21st Amendment Brewery - San Leandro","2010 Williams St","San Leandro","CA","","Brewery"
"2Kids Brewing Company","8680 Miralani Drive","San Diego","CA","(858) 480-5437","Brewery"
"32 North Brewing Company","8655 Production Ave Suite A","Sand Diego","CA","619-363-2622","Brewery"
"5 Points Brewing Company","1795 Hancock Street","San Diego","CA","(619) 550-BREW","Brewery"
"927 Beer Company","821 Cornwall St","Cambria","CA","(805) 203-5265","Brewery"
"Absolution Brewing Company","2878 Columbia Street","Torrance","CA","","Brewery"
"Academy of Fine Beers","435 Fernleaf","Corona Del Mar","CA","(949) 862-5808","Brewery"
"Acoustic Ales Brewing Experiment","1795 Hancock St., Suite P1","San Diego","CA","(619) 299-2537","Brewery"
"Aftershock Brewery","28822 Old Town Front St.","Temecula","CA","(951) 972-2256","Brewery"
"Ale Industries","975 Detroit Ave","Concord","CA","(925) 470-5280","Brewery"
"AleSmith Brewing Company","9368 Cabot Drive","San Diego","CA","(858) 549-9888","Brewery"
"Alosta Brewing Company","692 Arrow Grand Cir","Covina","CA","(626) 470-7897","Brewery"
"Alpine Beer Company","2351 Alpine Blvd.","Alpine","CA","(619) 445-2337","Brewery"
"Altamont Beer Works","2402 Research Drive","Livermore","CA","(925) 443-2337","Brewery"
"Amador Brewing Company","9659 Main St","Plymouth","CA","209-507-1900","Brewery"
"Amplified Ale Works","4150 Mission Blvd #208","San Diego","CA","(858) 270-5222","Brewery"
"Anaheim Brewery","336 South Anaheim Boulevard ","Anaheim","CA","(714) 780-1888","Brewery"
"Anchor Brewing Co.","1705 Mariposa St.","San Francisco","CA","(415) 863-8350","Brewery"
"Anderson Valley Brewing Company","17700 Highway 253","Boonville","CA","(800) 207-BEER","Brewery"
"Angel City Brewery","216 S Alameda St","Los Angeles","CA","(213) 622-1261","Brewery"
"Anheuser-Busch - Fairfield","3101 Busch Dr.","Fairfield","CA","(707) 429-7653","Brewery"
"Anheuser-Busch Inc - Van Nuys","15800 Roscoe Blvd","Van Nuys","CA","(818) 989-5300","Brewery"
"Arcana Brewing","5621 Palmer Way","Carlsbad","CA","(909) 529-2337","Brewery"
"Area 51 Craft Brewery","7123 Arlington Ave., Suite - A","Riverside","CA","(909) 936-5010","Brewery"
"Armstrong Brewing","415 Grande Ave","South San Francisco","CA","650-989-8447","Brewery"
"Artifex Brewing Company","919 Calle Amanecer Suite A","San Clemente","CA","949-429-7805","Brewery"
"Automatic Brewing Company","3416 Adams Ave.","San Diego","CA","(619) 255-2491","Brewery"
"Aztec Brewery","2330 La Mirada Dr. Suite 300","Vista","CA","(800) 706-6324","Brewery"
"Baeltane Brewing","401-B Bel Marin Keys Blvd","Novato","CA","(415) 883-2040","Brewery"
"Ballast Point Brewing Co.","5401 Linda Vista Road, Suite 406","San Diego","CA","(619) 298-2337","Brewery"
"Ballast Point Brewing Co. - Main Brewery","10051 Old Grove Road Suite B","San Diego","CA","(619) 298-2337","Brewery"
"Bang the Drum Brewery","950 Orcutt Rd","San Luis Obispo","CA","805-242-8372","Brewery"
"Barebottle Brewing Company","1525 Cortland Ave","San Francisco","CA","415-926-8617","Brewery"
"Bargetto Winery (Chaucer's Wines)","3535 N. Main St.","Soquel","CA","(800) 211-6630","Brewery"
"Barley Forge Brewing Company","2957 Randolph Ave, Unit B","Costa Mesa","CA","(714) 641-2084","Brewery"
"Barrel Harbor Brewing","2575 Pioneer Ave #104","Vista","CA","760-734-3949","Brewery"
"BarrelHouse Brewing Company","3055 Limestone Way","Paso Robles","CA","805 296-1128","Brewery"
"Bayhawk Ales","2000 Main Street, Suite A","Irvine","CA","(949) 442-7565","Brewery"
"Beach City Brewery","7631 Woodwind Dr","Huntington Beach","CA","(714) 425-4756","Brewery"
"Bear Republic Brewing - Production Brewery","110 Sandholm Ln","Cloverdale","CA","(707) 894-2722","Brewery"
"Belching Beaver","980 Park Center Dr, Suite A","Vista","CA","(760) 599-5832","Brewery"
"Benchmark Brewing Co.","6190 Fairmount ave. Suite G","San Diego","CA","(619) 795-2111","Brewery"
"Berryessa Brewing Company","27260 Hwy 128","Winters","CA","(408) 917 2295","Brewery"
"Bike Dog Brewing Company","2534 Industrial Blvd #110","West Sacramento","CA","(916) 432-3376","Brewery"
"Black Diamond Brewing Co.","2470 Bates Avenue, Suite C","Concord","CA","(925) 356-0120","Brewery"
"Black Doubt Brewing","452 Old Mammoth Rd","Mammoth Lakes","CA","","Brewery"
"Black Dragon Brewery - Woodland Homebrew","175 West Main St","Woodland","CA","(530) 668-4677","Brewery"
"Black Hammer Brewing","544 Bryant St","San Francisco","CA","(415) 500-2273","Brewery"
"Black Market Brewing Company","41740 Enterprise Circle N. Ste 109 ","Temecula","CA","(951) 296-5039","Brewery"
"Blue Note Brewing Company","750 Dead Cat Alley","Woodland","CA","","Brewery"
"BNS Brewing and Distilling Co.","10960 Wheatlands Ave Suite 101","Santee","CA","(619) 956-0952","Brewery"
"Bootlegger's Brewery","130 S. Highland Ave","Fullerton","CA","714-871-2337","Brewery"
"Bootleggers Brewery - Fullerton","130 S Highland Ave","Fullerton","CA","714-871-2337","Brewery"
"Bootleggers Brewery - Redlands","2351 W. Lugonia Ave, Unit G","Redlands","CA","909-478-0040","Brewery"
"Booze Brothers","2545 Progress St. Suite D","Vista","CA","(760) 295-0217","Brewery"
"Bottle Logic Brewing","1072 North Armando St.","Anaheim","CA","(714) 660-2537","Brewery"
"Bravery Brewing Company","42705 8th Street West","Lancaster","CA","(661) 951-4677","Brewery"
"Brew Rebellion","195 N Del Rosa Dr","San Bernadino","CA","951-907-4844","Brewery"
"Brewbakers Brewing - Huntington Beach","7242 Heil Avenue","Huntington Beach","CA","(866) 421-BREW","Brewery"
"Brewing Lair, The","67007 CA Hwy 70","Blairsden","CA","(530) 394-0940","Brewery"
"Brewyard Beer Company","906 Western Ave.","Glendale","CA","","Brewery"
"Brouwerij West","110 E 22nd St","San Pedro","CA","(310) 833-9330","Brewery"
