"branch","phone.num","address","city","state","zip"
"ANZA"," (415) 355-5717"," 550 37th Ave."," San Francisco"," CA",94121
"BAYVIEW / LINDA BROOKS-BURTON"," (415) 355-5757"," 5075 Third St."," San Francisco"," CA",94124
"BERNAL HEIGHTS"," (415) 355-2810"," 500 Cortland Ave."," San Francisco"," CA",94110
"CHINATOWN / HIM MARK LAI"," (415) 355-2888"," 1135 Powell St."," San Francisco"," CA",94108
"EUREKA VALLEY / HARVEY MILK MEMORIAL"," (415) 355-5616"," 1 Jose Sarria Court"," San Francisco"," CA",94114
"EXCELSIOR"," (415) 355-2868"," 4400 Mission St."," San Francisco"," CA",94112
"GLEN PARK"," (415) 355-2858"," 2825 Diamond St."," San Francisco"," CA",94131
"GOLDEN GATE VALLEY"," (415) 355-5666"," 1801 Green St."," San Francisco"," CA",94123
"INGLESIDE"," (415) 355-2898"," 1298 Ocean Ave."," San Francisco"," CA",94112
"MAIN LIBRARY"," (415) 557-4400"," 100 Larkin St."," San Francisco"," CA",94102
"MARINA"," (415) 355-2823"," 1890 Chestnut St."," San Francisco"," CA",94123
"MERCED"," (415) 355-2825"," 155 Winston Dr."," San Francisco"," CA",94132
"MISSION"," (415) 355-2800"," 300 Bartlett St."," San Francisco"," CA",94110
"MISSION BAY"," (415) 355-2838"," 960 Fourth St."," San Francisco"," CA",94158
"NOE VALLEY/SALLY BRUNN"," (415) 355-5707"," 451 Jersey St."," San Francisco"," CA",94114
"NORTH BEACH"," (415) 355-5626"," 850 Columbus Ave."," San Francisco"," CA",94133
"OCEAN VIEW"," (415) 355-5615"," 345 Randolph St."," San Francisco"," CA",94132
"ORTEGA"," (415) 355-5700"," 3223 Ortega St."," San Francisco"," CA",94122
"PARK"," (415) 355-5656"," 1833 Page St."," San Francisco"," CA",94117
"PARKSIDE"," (415) 355-5770"," 1200 Taraval St."," San Francisco"," CA",94116
"PORTOLA"," (415) 355-5660"," 380 Bacon St."," San Francisco"," CA",94134
"POTRERO"," (415) 355-2822"," 1616 20th St."," San Francisco"," CA",94107
"PRESIDIO"," (415) 355-2880"," 3150 Sacramento St."," San Francisco"," CA",94115
"RICHMOND/SEN. MILTON MARKS"," (415) 355-5600"," 351 9th Ave."," San Francisco"," CA",94118
"SUNSET"," (415) 355-2808"," 1305 18th Ave."," San Francisco"," CA",94122
"VISITACION VALLEY"," (415) 355-2848"," 201 Leland Ave."," San Francisco"," CA",94134
"WEST PORTAL"," (415) 355-2886"," 190 Lenox Way"," San Francisco"," CA",94127
"WESTERN ADDITION"," (415) 355-5727"," 1550 Scott St."," San Francisco"," CA",94115
